Decade,Year,Date,Location,Operator,Op_Code,Route,Type,Make_Type,Aboard,Fatalities,Summary
1911-1920,1916,1916-11-28,"Off West Hartlepool, England",Military - German Navy,Military,,Zeppelin L-34 (airship),Zeppelin,20.0,20.0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
1911-1920,1917,1917-04-03,"Near Gent, Belgium",Military - German Army,Military,,Airship,Airshi,20.0,20.0,Caught fire and crashed.
1911-1920,1917,1917-03-30,Off Northern Germany,Military - German Navy,Military,,Schutte-Lanz S-L-9 (airship),Schutte-Lanz,23.0,23.0,Struck by lightning and crashed into the BaltiSea.
1911-1920,1917,1917-05-14,"Near Texel Island, North Sea",Military - German Navy,Military,,Zeppelin L-22 (airship),Zeppelin,21.0,21.0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
1911-1920,1917,1917-06-14,"Off Vlieland Island, North Sea",Military - German Navy,Military,,Zeppelin L-43 (airship),Zeppelin,24.0,24.0,Shot down by British aircraft.
1911-1920,1917,1917-08-21,Off western Denmark,Military - German Navy,Military,,Zeppelin L-23 (airship),Zeppelin,18.0,18.0,Shot down by British aircraft.
1911-1920,1917,1917-10-20,"Near Luneville, France",Military - German Navy,Military,,Zeppelin L-44 (airship),Zeppelin,18.0,18.0,Shot down by French anti-aircraft fire.
1911-1920,1918,1918-07-04,Over the Mediterranean,Military - German Navy,Military,,Zeppelin L-59 (airship),Zeppelin,23.0,23.0,Exploded and crashed into the sea off the southern coast of Italy.
1911-1920,1918,1918-10-05,"Off Helgoland Island, Germany",Military - German Navy,Military,,Zeppelin L-70 (airship),Zeppelin,22.0,22.0,"Shot down by British aircraft crashing from a height of 17,000 ft."
1911-1920,1918,1918-11-08,"Ameland Island, North Sea",Military - German Navy,Military,,Zeppelin L-53 (airship),Zeppelin,19.0,19.0,Shot down by british aircraft.
1911-1920,1918,1918-12-16,"Elizabeth, New Jersey",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1911-1920,1919,1919-05-25,"Cleveland, Ohio",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
1911-1920,1919,1919-07-19,"Dix Run, Pennsylvania",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1911-1920,1919,1919-02-10,"Newcastle, England",Aircraft Transport and Travel,Passenger,,De Havilland DH-4,De,1.0,1.0,
1911-1920,1919,1919-10-14,"Cantonsville, Maryland",US Aerial Mail Service,Mail,,Curtiss R-4LM,Curtiss,1.0,1.0,
1911-1920,1919,1919-10-20,English Channel,Aircraft Transport and Travel,Passenger,,De Havilland DH-4,De,,,
1911-1920,1919,1919-10-30,"Long Valley, New Jersey",US Aerial Mail Service,Mail,,De Havilland DH.4,De,1.0,1.0,
1911-1920,1920,1920-10-03,"New Paris, Indiana",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1911-1920,1920,1920-03-30,"Newark, New Jersey",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1911-1920,1920,1920-10-04,"Newark, New Jersey",US Aerial Mail Service,Mail,,Curtiss R-4LM,Curtiss,2.0,1.0,
1911-1920,1920,1920-11-04,"Heller Field, New Jersey",US Aerial Mail Service,Mail,,Curtiss JN-4H,Curtiss,2.0,1.0,
1911-1920,1920,1920-12-05,"Oskaloosa, Iowa",US Aerial Mail Service,Mail,,De Havilland DH-4,De,2.0,1.0,
1911-1920,1920,1920-06-06,"Cleveland, Ohio",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1911-1920,1920,1920-08-16,"Bedford, England",By Air,Passenger,,Armstrong-Whitworth F-K-8,Armstrong-Whitworth,1.0,1.0,
1911-1920,1920,1920-08-16,"College Park, Maryland",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1911-1920,1920,1920-01-09,"Morristown, New Jersey",US Aerial Mail Service,Mail,,Junkers JL-6,Junkers,2.0,2.0,
1911-1920,1920,1920-09-15,"Pemberville, Ohio",US Aerial Mail Service,Mail,,Junkers F-13,Junkers,2.0,2.0,
1911-1920,1920,1920-09-27,"Hillersburg, Pennsylvania",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1911-1920,1920,1920-02-10,"Off Port Vendres, France",Latecoere Airlines,Passenger,,Salmson 2-A-2,Salmson,2.0,2.0,
1911-1920,1920,1920-05-10,"Valencia, Spain",Latecoere Airlines,Passenger,,Breguet 14,Breguet,2.0,2.0,Crashed while landing.
1911-1920,1920,1920-10-15,"Batavia, Illinois",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1911-1920,1920,1920-07-11,"Tie Siding, Wyoming",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1911-1920,1920,1920-12-14,"Cricklewood, England",Handley Page Transport,Passenger,,Handley Page HP-16,Handley,8.0,4.0,Crashed into a tree on take off in fog.
1911-1920,1920,1920-12-24,"Barcelona, Spain",Aeropostale,Passenger,,Breguet 14,Breguet,1.0,1.0,
1921-1930,1921,1921-03-02,"Mendotta, Minnisota",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1921-1930,1921,1921-09-02,"La Crosse, Wisconsin",US Aerial Mail Service,Mail,,Junkers F-13,Junkers,3.0,3.0,
1921-1930,1921,1921-02-15,Off Gibraltar,Aeropostale,Passenger,,Breguet 14,Breguet,2.0,2.0,
1921-1930,1921,1921-02-22,"Elko, Nevada",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1921-1930,1921,1921-06-04,"Point Cook, Australia",Military - Royal Australian Air Force,Military,,,na,2.0,1.0,
1921-1930,1921,1921-04-21,"Mitchel Field, NY",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1921-1930,1921,1921-04-29,"Cleveland, Ohio",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1921-1930,1921,1921-05-17,"Rock Springs, Wyoming",US Aerial Mail Service,Mail,,,na,1.0,1.0,
1921-1930,1921,1921-07-16,"San Francisco, California",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1921-1930,1921,1921-08-14,"Toulouse, France",Aeropostale,Passenger,,Breguet 14,Breguet,2.0,2.0,
1921-1930,1921,1921-08-24,"River Humber, England",Military - Royal Airship Works,Military,,Royal Airship Works ZR-2 (airship),Royal,46.0,46.0,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.
1921-1930,1921,1921-06-09,"Paris, France",Franco-Roumaine,Passenger,Varsovie - Strasbourg - Paris,Potez IX,Potez,5.0,5.0,Crashed while making an approach to Le Bourget Airport in Paris.
1921-1930,1921,1921-05-12,"Near Murchinson River, Australia",West Australian Airways,Passenger,,Bristol 28 Tourer,Bristol,3.0,3.0,
1921-1930,1922,1922-01-14,"Paris, France",Handley Page Transport,Passenger,,Handley Page O/10,Handley,5.0,5.0,Crashed at Le Bourget field.
1921-1930,1922,1922-02-21,"Near Norfolk, Virginia",Military - U.S. Army Air Service,Military,,Dirigible Roma (airship),Dirigible,45.0,34.0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
1921-1930,1922,1922-07-04,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,Passenger,,de Havilland DH-18 / Farman F-60 Goliath,de,7.0,7.0,"A midair collision occurred in poor visibility approximately 18 miles north of Beauvais, France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
1921-1930,1922,1922-08-04,"Pao Ting Fou, China",,Unknown,,,na,17.0,17.0,All seventeen aboard were Chinese nationals.
1921-1930,1922,1922-04-13,"Brooklands, England",Vickers,Passenger,,Vickers Viking,Vickers,3.0,3.0,
1921-1930,1925,1925-01-10,"Nittany Mt, Ohio",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1921-1930,1922,1922-03-06,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Passenger,,Bleriot Spad 27,Bleriot,3.0,3.0,
1921-1930,1922,1922-07-26,"Cadix, Spain",Grands Express Aeriens,Passenger,,Breguet 14,Breguet,3.0,3.0,
1921-1930,1922,1922-07-09,"Indianapolis, Indiana",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1921-1930,1922,1922-02-10,"Venice, Italy",,Unknown,,de Havilland DH-9,de,4.0,4.0,
1921-1930,1922,1922-10-25,"Larache, Morocco",Grands Express Aeriens,Passenger,,Breguet 14,Breguet,2.0,2.0,
1921-1930,1922,1922-03-12,"Fez, Morocco",Grands Express Aeriens,Passenger,,Breguet 14,Breguet,1.0,1.0,
1921-1930,1923,1923-10-01,"Ajaccio, France",Amee de l'Air,Passenger,,Lioré-et-Olivier H-13,Lioré-et-Olivier,4.0,3.0,
1921-1930,1923,1923-01-17,"Barcelona, Spain",Grands Express Aeriens,Passenger,,Breguet 14,Breguet,1.0,1.0,
1921-1930,1923,1923-01-18,"Cheyenne, Wyoming",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1921-1930,1923,1923-02-26,"Meadville, Pennsylvania",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1921-1930,1923,1923-05-14,"Monsures, France",Grands Express Aeriens,Passenger,,Farman F-60 Goliath,Farman,6.0,6.0,
1921-1930,1923,1923-08-27,"Bucharest, Romania",Campagnie France Roumaine,Passenger,,Blériot Spad 46,Blériot,2.0,2.0,
1921-1930,1923,1923-07-09,"Colton, Ohio",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1921-1930,1923,1923-09-14,"Berks, England",Daimler Airways,Passenger,,de Havilland DH-34,de,6.0,6.0,
1921-1930,1923,1923-11-18,Russia,CCCP,Passenger,,Junkers F-13,Junkers,4.0,2.0,
1921-1930,1923,1923-06-12,"Castalia, Ohio",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1921-1930,1923,1923-12-23,Over the Mediterranean Sea,Military - French Navy,Military,Toulon - Algiers,Zeppelin Dixmunde (airship),Zeppelin,52.0,52.0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
1921-1930,1923,1923-12-24,"Egbert, WY",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1921-1930,1924,1924-07-03,"Grampian, Pennsylvania",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1921-1930,1924,1924-04-24,Over the English Channel,KLM Royal Dutch Airlines,Passenger,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,Fokker,3.0,3.0,
1921-1930,1924,1924-08-06,"Barranquilla, Colombia",SCADTA,Passenger,,Junkers F-13,Junkers,3.0,3.0,
1921-1930,1924,1924-01-08,United States,US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1921-1930,1924,1924-06-11,"Cabrerolles, France",Grands Express Aeriens,Passenger,,,na,1.0,1.0,
1921-1930,1924,1924-12-21,"Goshen, Indiana",US Aerial Mail Service,Mail,,De Havilland DH-4,De,1.0,1.0,
1921-1930,1924,1924-12-24,"Purley, England",Imperial Airways,Passenger,,de Havilland DH-34B,de,8.0,8.0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing."
1921-1930,1925,1925-03-22,"Near Tiflies, Georgia, USSR",Zakavia,Passenger,,Junkers F-13,Junkers,5.0,5.0,
1921-1930,1925,1925-04-25,"Alicante, Spain",Grands Express Aeriens,Passenger,,Breguet 14,Breguet,4.0,4.0,
1921-1930,1925,1925-05-25,"Alicante, Spain",Lignes Aeriennes Latecoere,Passenger,,Breguet 14,Breguet,2.0,2.0,
1921-1930,1925,1925-06-25,"Landrécies, France",KLM Royal Dutch Airlines,Passenger,,Fokker (KLM)  F.III,Fokker,4.0,4.0,Crashed in poor weather.
1921-1930,1925,1925-06-26,"Alicante, Spain",Grands Express Aeriens,Passenger,,Lioré-et-Olivier H-13,Lioré-et-Olivier,2.0,2.0,
1921-1930,1925,1925-07-20,"Rosas, Spain",Lignes Aeriennes Latecoere,Passenger,,Breguet 14,Breguet,1.0,1.0,
1921-1930,1925,1925-07-24,"Budapest, Hungary",CIDNA,Passenger,,Potez IX,Potez,1.0,1.0,
1921-1930,1925,1925-03-09,"Caldwell, Ohio",Military - U.S. Navy,Military,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),Dirigible,43.0,14.0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon."
1921-1930,1925,1925-07-09,"Toul, France",CIDNA,Passenger,,,na,3.0,3.0,
1921-1930,1925,1925-11-14,"Off Boulogne-sur-Mer, France",Air Union,Passenger,,Farman F-60 Goliath,Farman,2.0,2.0,
1921-1930,1926,1926-12-02,"Montpelier, Ohio",US Aerial Mail Service,Mail,,Curtiss Carrier Pigeon,Curtiss,1.0,1.0,
1921-1930,1926,1926-08-03,"Staaken, Germany",Deutche Lufthansa,Passenger,,Junkers F-13,Junkers,1.0,1.0,
1921-1930,1926,1926-05-31,English Channel,Air Union,Passenger,,Breguet 14,Breguet,1.0,1.0,
1921-1930,1926,1926-03-07,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,Passenger,Paris - Prague,Caudron C-61,Caudron,7.0,7.0,Crashed while en route.
1921-1930,1926,1926-09-07,"Wolvertem, Belgium",KLM Royal Dutch Airlines,Passenger,,Fokker F-4,Fokker,2.0,2.0,
1921-1930,1926,1926-07-24,"Juist, Germany",Deutsche Lufthansa,Passenger,,Junkers F-13,Junkers,4.0,4.0,Weather related.
1921-1930,1926,1926-08-18,"Hurst, Kent, England",Air Union,Passenger,,Bleriot 155,Bleriot,4.0,4.0,Crashed in adverse weather conditions.  Engine failure.
1921-1930,1926,1926-09-26,"New York, New York",,Unknown,New York - Paris,Sikorsky S-25,Sikorsky,5.0,2.0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.
1921-1930,1926,1926-08-10,"Bueren, Germany",Deutsche Lufthansa,Passenger,,Fokker FG III,Fokker,4.0,4.0,Weather related.
1921-1930,1926,1926-10-21,English Channel,Imperial Airways,Passenger,,Handley Page W-10,Handley,12.0,0.0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
1921-1930,1926,1926-11-11,"Cape Bojador, Morocco",Grands Express Aeriens,Passenger,,Breguet 14,Breguet,3.0,3.0,
1921-1930,1926,1926-12-16,"Medford, Oregon",PacifiAir Transport,Passenger,,Ryan M-1,Ryan,1.0,1.0,
1921-1930,1927,1927-12-01,"Lille, France",KLM Royal Dutch Airlines,Passenger,,Fokker F-VII,Fokker,2.0,2.0,
1921-1930,1927,1927-03-20,"Rabat, Morocco",Grands Express Aeriens,Passenger,,Breguet 14,Breguet,1.0,1.0,
1921-1930,1927,1927-03-24,"Tambo, Qld, Australia",Qantas,Passenger,,de Havilland DH-9C,de,3.0,3.0,Stalled at low altitiude on approach to land
1921-1930,1927,1927-04-15,"King Hill, Idaho",Varney Air Lines,Passenger,,,na,1.0,1.0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.
1921-1930,1927,1927-04-22,"Goshen, Indiana",US Aerial Mail Service,Mail,,Douglas M-4,Douglas,1.0,1.0,
1921-1930,1927,1927-04-22,"Floh, Germany",Deutsche Lufthansa,Passenger,,Fokker FG III,Fokker,2.0,2.0,Engine failure.
1921-1930,1927,1927-02-05,"Algiers, Algeria",Air Union,Passenger,,SPCA Meteore 63,SPCA,3.0,1.0,
1921-1930,1927,1927-07-27,"Amoneburg, Germany",Deutsche Lufthansa,Passenger,,Junkers F-13,Junkers,5.0,5.0,Engine failure.
1921-1930,1927,1927-08-22,"Sevenoaks, England",KLM Royal Dutch Airlines,Passenger,Croydon - Schiphol,Fokker F-VIII,Fokker,11.0,1.0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer."
1921-1930,1927,1927-03-09,"Willington, Connecticut",Colonial Air Transport,Passenger,,Fokker Universal,Fokker,1.0,1.0,
1921-1930,1927,1927-09-17,"Hadley, New Jersey",Reynolds Airways,Passenger,Sightseeing,Fokker F-VII,Fokker,12.0,7.0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.
1921-1930,1927,1927-09-22,"Saale, Germany",Deutsche Lufthansa,Passenger,,BFW M-18,BFW,4.0,2.0,Engine failure.
1921-1930,1927,1927-09-23,"Schleiz, Germany",Deutsche Lufthansa,Passenger,Berlin - Munich,Dornier Merkur,Dornier,6.0,6.0,Broken wing strut.
1921-1930,1927,1927-06-10,"Thies, Mauritania",Lignes Aeriennes Latecoere,Passenger,,Breguet 14,Breguet,2.0,2.0,
1921-1930,1927,1927-10-30,"New Brunswick, New Jersey",Colonial Air Transport,Passenger,,Fairchild FC-2,Fairchild,4.0,4.0,Went into a tailspin and crashed into a corn field
1921-1930,1927,1927-11-16,"Strasburg, France",CIDNA,Passenger,,Farman F-121 Jabiru,Farman,1.0,1.0,
1921-1930,1927,1927-11-16,Over the Gulf of Finland,Aero O-Y,Passenger,,Junkers F-13,Junkers,6.0,6.0,
1921-1930,1927,1927-11-29,"Corunna, Indiana",National Air Transport,Passenger,,Douglas M-4,Douglas,1.0,1.0,
1921-1930,1927,1927-12-26,"Almeria, Spain",Aeropostale,Passenger,,Breguet 14,Breguet,2.0,2.0,
1921-1930,1927,1927-12-28,"Abuerio, Spain",Aeropostale,Passenger,,Breguet 14,Breguet,1.0,1.0,
1921-1930,1927,1927-12-31,France,Latecoere Airlines,Passenger,,Latécoère 23,Latécoère,4.0,4.0,
1921-1930,1928,1928-08-01,"Near Canajoharie, New York",Colonial Western Airlines,Passenger,Minola - Albany - Buffalo,Fairchild FC-2,Fairchild,3.0,3.0,Became lost in dense fog and flew into the ground in the Mohawk Valley while proceeding to Buffalo..
1921-1930,1928,1928-01-16,"Solis, Uruguay",Aeropostale,Passenger,,Latecoere 25,Latecoere,2.0,2.0,
1921-1930,1928,1928-01-22,"Tarragona, Spain",Aeropostale,Passenger,,Breguet 14,Breguet,2.0,2.0,
1921-1930,1928,1928-01-22,France,Aeropostale,Passenger,,Breguet 14,Breguet,2.0,1.0,
1921-1930,1928,1928-01-27,"Almeria, Spain",Aeropostale,Passenger,,Breguet 14,Breguet,1.0,1.0,
1921-1930,1928,1928-02-26,"Marquette, Nebraska",Boeing Air Transport,Passenger,,Boeing 40,Boeing,2.0,1.0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.
1921-1930,1928,1928-03-03,"Rio de Janeiro, Brazil",,Unknown,,,na,10.0,10.0,
1921-1930,1928,1928-11-03,"Off Cape Griz Nez, France",Air Union,Passenger,,Farman F-60 Goliath,Farman,2.0,2.0,
1921-1930,1928,1928-04-17,"Federal, Wyoming",Boeing Air Transport,Passenger,,Boeing 40,Boeing,2.0,1.0,
1921-1930,1928,1928-04-19,"Minuesa, Spain",Iberia Airlines,Passenger,,Rohrbach Roland,Rohrbach,9.0,9.0,Crashed in fog.
1921-1930,1928,1928-07-05,,Aeropostale,Passenger,,Latecoere 26,Latecoere,1.0,1.0,
1921-1930,1928,1928-12-05,"Dearborn, Minnesota",Ford Air Freight Inc.,Passenger,,Ford 4,Ford,2.0,2.0,
1921-1930,1928,1928-05-26,"Radevormwald, Germany",Deutsche Lufthansa,Passenger,,Junkers F-13,Junkers,5.0,3.0,Pilot error.
1921-1930,1928,1928-06-14,"Frankfurt, Germany",Deutsche Lufthansa,Passenger,,AEGK,AEG,5.0,5.0,
1921-1930,1928,1928-06-22,"Lebo, Kansas",National Air Transport,Passenger,Chicago - Dallas,Douglas M-4,Douglas,1.0,1.0,The mail plane flew into tornado like winds and crashed to the ground.
1921-1930,1928,1928-10-07,Over the Gulf of Finland,Aero O-Y,Passenger,,Junkers F-13,Junkers,6.0,6.0,
1921-1930,1928,1928-07-13,"Purley, England",Imperial Airways,Passenger,Testing,Vickers 74 Vulcan,Vickers,4.0,4.0,Crashed to the ground shortly after taking off killing two men and two women.
1921-1930,1928,1928-07-24,"Waalhaven harbor, Netherlands",KLM Royal Dutch Airlines,Passenger,,Fokker (KLM) F.III,Fokker,1.0,1.0,The plane crashed into the Waalhaven harbor.
1921-1930,1928,1928-08-25,"Near Port Townsend, BC, Canada",British Columbia Airways,Passenger,Victoria - Seattle,Ford 4-AT-B Tri Motor,Ford,7.0,7.0,Crashed into Puget Sound in dense fog.  Considered the first Canadian air disaster.
1921-1930,1928,1928-02-09,"Toul, France",CIDNA,Passenger,,Bleriot Spad 56,Bleriot,3.0,3.0,
1921-1930,1928,1928-04-09,"Adelaide Hills, Australia",Qantas,Passenger,,de Havilland DH.50J,de,2.0,1.0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft crashed and caught fire."
1921-1930,1928,1928-04-09,"Pocatello, Idaho",National Parks Airways,Passenger,,Fokker Super Universal,Fokker,7.0,7.0,
1921-1930,1928,1928-06-09,"Heroldbach, Germany",Deutsche Lufthansa,Passenger,,Fokker FG III,Fokker,3.0,3.0,Engine failure.
1921-1930,1928,1928-04-10,"Gerona, Spain",Aeropostale,Passenger,,Breguet 14,Breguet,3.0,3.0,
1921-1930,1928,1928-10-18,"Polk, Pennsylvania",National Air Transport,Passenger,,Douglas M-4,Douglas,1.0,1.0,The mail plane crashed and burned during the night.
1921-1930,1928,1928-10-31,"Valence, France",Air Union,Passenger,,Bleriot Spad 56,Bleriot,2.0,1.0,
1921-1930,1928,1928-11-15,Off Gibraltar,Aeropostale,Passenger,,Latecoere 32,Latecoere,2.0,1.0,
1921-1930,1928,1928-11-24,"Edgerton, Ohio",Universal Airlines,Passenger,Cleveland - Chicago,Hamilton H-47,Hamilton,3.0,3.0,The mail plane crashed in a heavy snow storm.
1921-1930,1928,1928-11-25,"Bristolville, Ohio",National Air Transport,Passenger,,Douglas M-4,Douglas,1.0,1.0,The mail plane crashed in a snow storm.
1921-1930,1928,1928-11-25,"Edgerton, Ohio",Continental Air Lines,Passenger,Cleveland - Louisville,Travel Air 4000,Travel,3.0,3.0,The mail plane crashed in a heavy snow storm
1921-1930,1928,1928-01-12,"Spur, Texas",Sunbeam Air Transport Co.,Passenger,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,Ford,5.0,5.0,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed.
1921-1930,1928,1928-03-12,Brazil,Syndicato Condor,Passenger,,Dornier Wal,Dornier,14.0,14.0,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastilimits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately."
1921-1930,1928,1928-04-12,"Rio de Janeiro, Brazil",,Unknown,,Junkers G24,Junkers,6.0,6.0,The aircraft's wingtip struck the water and crashed into Rio de Janeiro Bay.
1921-1930,1928,1928-11-12,"Letzlingen, Germany",Deutsche Lufthansa,Passenger,,Junkers G-31,Junkers,4.0,3.0,Weather related.
1921-1930,1928,1928-12-20,"Huron, Ohio",National Air Transport,Passenger,Cleveland - Chicago,Douglas M-4,Douglas,1.0,1.0,The mail plane crashed into an apple tree during a snow storm.
1921-1930,1928,1928-12-23,"Chattanooga, Tennessee",Interstate Airlines,Passenger,,Fairchild FC-2,Fairchild,4.0,4.0,Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up enough.
1921-1930,1928,1928-12-31,"Reims, France",CIDNA,Passenger,,Blériot Spad 66,Blériot,3.0,2.0,Crashed into high ground in fog.
1921-1930,1929,1929-05-01,"Stafford Springs, Connecticut",Colonial Air Transport,Passenger,,Fairchild FC-2,Fairchild,1.0,1.0,
1921-1930,1929,1929-01-18,"Cove, Oregon",Varney Air Lines,Passenger,,Stearman C-38,Stearman,1.0,1.0,While attempting to make an emergency landing on the Minam river the plane hit a bolder
1921-1930,1929,1929-01-25,"Near Corfu, Greece",Aeroespresso,Passenger,,CMASA Wal,CMASA,9.0,2.0,
