,Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
10,1936-12-27,19:38,"Newhall, California",United Air Lines,34,Oakland - San Francisco - Los Angeles,Boeing 247-D,NC13355,1737,12.0,12.0,0,"While on approach to Burbank Airport, the airliner crashed into Rice Canyon, just south of Newhall.  It was raining with poor visibility. The aircraft flew into a hill loosing its wings, continued without wings across Rice Canyon and struck against a rocky wall of a bluff and dropped over a hundred feet to the bottom of the canyon.  Error on the part of the pilot in attempting to fly through the Newhall pass at an altitude lower than the surrounding mountains without first determining by radio, the existing weather."
13,1937-03-25,18:40,"Clifton, Pennsylvania",Trans Continental and Western Air,15A,Newark - Camden - Pittsburg,Douglas DC-2-112,NC13730,1256,13.0,13.0,0,Crashed while attempting to land. Heavy icing which rendered the plane uncontrollable.
14,1937-06-05,19:25,"Lakehurst, New Jersey",Deutsche Zeppelin Reederei,LZ 129,Frankfurt - Lakehurst N.J.,Zeppelin LZ-129,D-LZ-129,D-LZ129,97.0,35.0,1,"The airship Hindenburg caught fire and burned while being moored at Lakehurst, New Jersey.  Possible causes were statidischarge which ignited leaking hydrogen or sabotage. It has been theorized that a sudden turn just before landing caused a steel cable to snap which punctured one of the hydrogen airbags. Thereafter, when mooring ropes were dropped to the ground, the cage was discharged setting up a statidischarge between the Hindenburg's outer skin and frame causing the hydrogen to ignite."
12,1937-09-02,20:50,"Off San Francisco, California",United Air Lines,23,Los Angeles - San Francisco - Oakland,Douglas DC-3A,NC16073,1913,11.0,11.0,0,"The aircraft crashed into San Francisco Bay, approximately 2 miles offshore, while on approach. The accidental jamming of the elevator controls as the result of the co-pilot's microphone being inadvertently dropped and lodged between the elevator control column and the seat rail in such a way that the crew was unable to prevent rapid descent of the airplane. First accident involving a DC-3."
15,1937-10-08,04:40,"Daytona Beach, Florida",Eastern Air Lines,7,Chicago - Daytona,Douglas DC-2,NC-13739,1289,9.0,4.0,0,The plane struck a power pole while taking off from Daytona and crashed to the ground 600 feet from the first point of impact. The absence of reasonable notice to those operating and navigating the aircraft that an object had been erected which constituted a hazard to the aircraft taking off.
16,1937-10-17,21:00,"Haydens Peak, Wyoming",United Air Lines,1,Cheyenne - Salt Lake City,Douglas DC-3,NC16074,1914,19.0,19.0,0,"The plane crashed into the side of a mountain (Humpy Ridge)  in level flight at 10,000 ft. under adverse weather conditions. Staticonditions encountered in the last portion of the flight which rendered the reception of radio range signals unintelligible. The continuation of the flight into mountainous country at an altitude below of higher mountains without the aid of ground visibility or radio signals to definitely identify position. A change in the weather caused by the approach of an unpredicted cold front."
11,1937-12-01,11:07,"Near Newhall, California",Western Air Express,7,Salt Lake City - Burbank,Boeing 247B,NC13315,1696,13.0,5.0,0,"The aircraft crashed into Pinetos Peak, 4 miles southeast of Newhall while attempting to land at Burbank Airport in fog and rain. The pilot descended to a dangerously low altitude without positive knowledge of his position. African explorer, Martin Johnson, 52, killed. Johnson suffered a fractured skull in the crash and died the next day in a hospital."
19,1938-01-03,21:30,"Near Wawona, Cailifornia",Trans Continental and Western Air,8,San Francisco - Burbank,Douglas DC-2-112,NC13789,1299,9.0,9.0,0,Crashed into the high Sierra after encountering a severe weather front while en route. The pilot radioed that ice was forming on the DC-2's wings as it neared the Tehachapi Mountains near Bakersfield and that he was turning back towards the north to land at Fresno. The aircraft sheared off the tops of pine trees and crashed 200 feet below a summit. The wreckage was not found until 6/12/38.
20,1938-05-24,22:17,"Cleveland, Ohio",United Air Lines,9,Newark - Cleveland - Chicago,Douglas DST-A-207A,NC18108,1956,10.0,10.0,0,An uncontrollable fire developed in the right engine and the pilot decided to make an emergency landing rather than try to reach Cleveland Airport. The plane struck trees in level flight 8.5 miles east of Cleveland Airport. A fire in the right engine accessory section which resulted from the failure of a cylinder barrel and was fed from the right engine oil supply.
21,1938-07-29,04:11,PacifiOcean between Manila and Guam,Pan American World Airways,229,Alameda - Manila,Martin M-130 (flying boat),NC14714,556,15.0,15.0,0,"The plane crashed into the ocean while en route between Guam and Manilla. The last known position was 12.27 N, 130.40 W or 582 nm east southeast of Manila at 04:00 GCT. Cause unknown. The plane may have been hijacked by the Japanese and flown to Truk Island where the crew and passengers were murdered. The aircraft was named 'Hawaii Clipper.'"
17,1938-10-01,15:07,"Bozeman, Montana",Northwest Orient Airlines,2,Seattle - Billings - Chicago,Lockheed 14H Super Electra,NC-17388,1407,10.0,10.0,0,"The aircraft crashed 12 miles northeast of Bozeman after experiencing structural failure of the tail. There was severe turbulence reported in the area at the time of the accident. The structural failure of the upper vertical fins and rudders due to flutter 'natural resonance, or period of vibration' which resulted in the separation of the rudder and fins and loss of control of the aircraft."
18,1938-11-01,19:40,"Pago Pago, U.S. Samoa",Pan American World Airways,1,Honolulu - Pago Pago - Auckland,Sikorsky S-42 (flying boat),NC16734,4207,7.0,7.0,0,"The aircraft exploded in mid-air as the crew attempted to dump fuel for an emergency landing at Pago Pago. Neither the plane or six crew members were ever found. The aircraft was named 'Samoan Clipper.'  Pan American's first pilot, Captain Edwin C. Musick, killed."
22,1938-11-29,05:30,"Off Point Reyes, California",United Air Lines,6,Medford - Oakland,Douglas DC 3-A-SB-3-G-14,NC16066,1907,7.0,7.0,0,"The aircraft ran out of fuel and ditched into the ocean. Failure of the pilot to definitely establish the position of the aircraft through standard orientation procedures within a reasonable time after intersecting a leg of the Oakland radio range and of Company flight dispatchers, charged with the responsibilities of directing the operation of the trip, to properly safeguard the flight, resulting in forced landing of the aircraft at sea due to exhausted fuel supply."
23,1939-01-13,21:15,"Miles City, Montana",Northwest Orient Airlines,1,Chicago - Seattle,Lockheed 14-H Super Electra,NC17389,1408,4.0,4.0,0,"The aircraft crashed 2,650 feet past the runway boundry after taking off. A fire of considerable intensity developed, prior to the crash, in the cockpit of the aircraft, in the immediate vicinity of the gasoline cross-feed valve. It  was not possible to determine the exact origin and source of the fire."
24,1939-03-26,14:48,"Oklahoma City, Oklahoma",Braniff Airlines,1,Chicago - Dallas,Douglas DC-2-112,NC13727,1253,12.0,8.0,0,"An explosion in an engine, just after takeoff blew the two halves of the cowl open creating excessive drag and causing the left wing to drop. The captain tried to circle back, but the wing impacted an embankment along a section line road and crashed about 100 yards inside the boundary. Either the hot metal of the engines or some other source ignited the fuel spilling out of the ruptured tank and the cabin was quickly engulfed in flames. The initial cause of the explosion was a cylinder blow out which was a problem with that particular engine and had caused problems in two other aircraft, a TWA and United DC-2, both of which landed safely."
26,1940-04-11,04:42,"Near Centerville, Utah",United Air Lines,16,Oakland - Salt Lake City,Douglas DC-3,NC16086,1925,10.0,10.0,0,"The aircraft crashed into Bountiful Peak in the Wasatch Mountains, during a snowstorm, 3 nm NE of Centerville. The failure of the communications operators at Tintic, Plymouth, and Salt Lake City, Utah, whose duty it was to monitor the range, to detect its malfunctioning and immediately notify those concerned and the failure of the pilot to follow to the fullest extent established radio range technique in accordance with the requirements of the procedure established by United and approved by the Civil Aeronautics Administration."
27,1940-04-12,17:48,"Chicago, Illinois",United Air Lines,21,New York City - Chicago,Douglas DC-3A,NC25678,2175,16.0,10.0,0,The aircraft crashed while attempting to land at Chicago. The failure of the pilot to exercise that degree of caution and skill required to avert a stall while approaching for a landing on the short northwest runway. A substantial contributing factor to the accident was the error in judgment of the pilot in choosing that short runway for his landing. An accumulation of ice on the wings may have increased the stalling speed of the plane.
25,1940-08-31,14:41,"Near Lovettsville, Virginia",Pennsylvania Central Airlines,19,Washington D.C. - Detroit,Douglas DC-3,NC21789,2188,25.0,25.0,0,"The aircraft was flying through a thunderstorm in turbulence when the it nosed over and plunged to earth near Short Hill Mountain.  Disabling of the pilots by a severe lightning discharge in the immediate neighborhood of the airplane, with resulting loss of control. With limited accident investigation tools at the time, the most likely cause was the plane flying into windshear.  U.S. Senator Ernest Lundeen from Minnesota killed."
28,1941-01-23,04:13,"Near Robertson, Missouri",Trans Continental and Western Air,6,"Kansas City, MO - New York",Douglas DC-3-3,NC17315,1930,13.0,2.0,0,"Shortly after passing over the west boundary of the airport, the pilot started a left turn. While in the turn, the plane contracted trees 113 feet above the level of the airport.  Full power was applied to the engines in an attempt to pull up but other trees were struck and the pilot lost control. The aircraft crashed to the ground at a point approximately one-fourth of a mile southwest of the airport boundary. The action of the pilot in attempting a landing under adverse weather conditions in disregard of the minimums prescribed by the Civil Aeronautics Administration and in maneuvering for such a landing at a dangerously low altitude."
29,1941-02-26,11:50,"Atlanta, Georgia",Eastern Air Lines,21,New York City -  Washington D.C. - Atlanta - Brownsville,Douglas DC-3,NC28394,3204,16.0,9.0,0,"The aircraft crashed into a hill in pine woods, near Chandler Field, while attempting to make an instrument landing approach in rain and fog. The failure of the captain in charge of the flight to exercise the proper degree of fare by not checking his altimeters to determine whether both were correctly set and properly functioning before commencing his landing approach. A substantial contributing factor was the absence of an established uniform cockpit procedure on Eastern Air Lines by which both the captain and co-pilot are required to make a complete check of the controls and instruments during landing operations. Captain Edward Rickenbacker, President of Eastern Air Lines, survived the crash."
30,1941-03-10,17:48,"San Juan, Puerto Rico",Pan American World Airways,203,Miami - Buenos Aires,Sikorsky S-42B (flying boat),NC15376,4206,15.0,2.0,0,"Following the approach, the aircraft contacted the water in an unduly nose-low attitude while moving sideways relative to the water.  Almost immediately after first contact with the water, the aircraft swerved violently to the right and broke into several major sections. The failure of the captain to exercise requisite caution and skill in landing. A contributing factor was the smooth surface of the water, which rendered difficult, the captain's depth perception as well as the exact determination of any lateral movement of the aircraft."
31,1941-10-30,02:04,"Near Moorhead, Minnesota",Northwest Orient Airlines,5,Minneapolis - Fargo,Douglas DC-3,NC21712,2124,15.0,14.0,0,"Crashed in fog and mist due to icing on the wings. The pilot, Clarence Bates, was thrown clear of the wreckage and was the lone survivor. Accumulation of ice on the wings and other surfaces of the airplane, increasing the stalling speed and the drag of the airplane on the power required to maintain flight. Action of the captain in descending to attempt a landing at Fargo with known icing conditions and critical ceiling conditions instead of proceeding to an available alternate."
32,1941-10-30,22:10,"St. Thomas, Ontario, Canada",American Airlines,1,New York - Buffalo - Chicago - Detroit,Douglas DC-3,NC25663,2207,20.0,20.0,0,"The aircraft, on a flight from New York to Chicago, circled a wooded area 3 or 4 times looking for a landing spot before stalling and diving into a plowed field. Cause unknown."
34,1942-01-05,23:00,"Salt Lake City, Utah",United Air Lines,4,San Francisco - New York City,Douglas DST-A-207A,NC18146,1978,17.0,17.0,0,"After taking off from Salt Lake, the aircraft proceeded in the wrong direction and crashed into the side of a hill 3.8 miles northeast of the Salt Lake City Airport. The point of impact was at an elevation of 5,053 feet above sea level and about 830 feet above the airport. A deviation from the proper course, for reasons undetermined."
33,1942-01-16,19:23,"Near Las Vegas, Nevada",Trans Continental and Western Air,3,Las Vegas - Los Angeles,Douglas DC-3,NC1946,3295,22.0,22.0,0,"The aircraft crashed into Mt. Potosi (Double Up Peak, Table Spring Mountain, Olcott Mountain), 32 miles SW of Las Vegas, NV, 15 minutes after taking off from the Western Airlines terminal building at Las Vegas. The aircraft clipped a rocky ledge, cartwheeled into the face of a cliff and exploded, scattering wreckage at the bottom of a ravine. Actress Carole Lombard, 33, her mother, and press agent  were killed in the crash. Her mother did not want to fly and a coin was tossed to see whether the trip would be made by train or plane. The actress was returning from a war-bond promotion.  The flight was 6.7 miles off course for unknown reasons.  Failure of the captain to follow a proper course and make use of navigation facilities available to him. A contributing factor was the blackout of beacons in the area made necessary because of the war emergency."
36,1942-03-10,19:05,"Botwood, Newfoundland",American Export Airlines,71,"New York - Botwood - Foynes, Ireland",Sirkorsky 44A (flying boat),NC41880,4401,37.0,11.0,0,"While attempting to takeoff, aircraft porpoised, attained a height of 35 ft. and then crashed into the water and broke up. Inadvertent actuation of the wing flaps to the full 35 degrees position during the take-off run, thereby rendering the aircraft excessively nose-heavy and uncontrollable."
37,1942-10-23,17:15,"Palm Springs, California",American Airlines / Military - USAF,28,Palm Springs - New York City,Douglas DC-3 / Boeing B-34,NC16017,1555,13.0,12.0,0,"Midair collision between an Army bomber and airliner over Chino Canyon near Palm Springs at 9,000 feet destroying the rudder of the DC-3.  All 12 aboard the DC-3 were killed. The Boeing B-34 landed safely with minor damage. The reckless and irresponsible conduct of the bomber pilot, William Wilson, in deliberately maneuvering a bomber in dangerous proximity to an airliner in an unjustifiable attempt to attract the attention of the first officer, his friend aboard the airliner. Composer and song writer Ralph Rainger, 41, killed.`"
35,1942-12-05,11:51,"Miles City, Montana",Northwest Orient Airlines,1,Chicago - Seattle,Douglas DC-3-A-269,NC 21714,2129,14.0,3.0,0,"The plane hit an obstruction at the end of the runway, overran the runway boundry and crashed. The failure of the captain to complete the landing run in time to avoid the obstruction at the end of the runway, for reasons undetermined, and his action in attempting to take off after striking the obstruction."
38,1942-12-15,01:22,"Fairfield, Utah",Western Airlines,13,Salt Lake - Las Vegas - Burbank,Douglas DC-3A,NC16060,1900,19.0,17.0,0,"Crashed after performing a violent maneuver.  Failure of the left, or possibly both wing tips and of the horizontal  tail  surfaces as a result of a sever pull-up which caused unusual and  abnormally high air loads. The reason the pull-up maneuver was not determined."
42,1943-01-06,11:00,Off the coast of France,British Overseas Airways,2L272,Lisbon - London,Douglas DC-3,G-AGBB,1590,17.0,17.0,0,"Shot down by the German Air Force over the Bay of Biscay. The last message received from the plane was it was being attacked by an enemy aircraft. The aircraft had a Dutch crew. British actor Leslie Howard, 42, killed."
39,1943-01-21,07:30,"Ukiah, California",Pan American World Airways,V-1104,Hawaii - San Francisco,Martin M-130 (flying boat),NC14715,557,19.0,19.0,0,"Flew into a 2,500 ft. mountain while circling in bad weather, after being unable to land in darkness and deciding whether to divert to San Diego. Clipped trees, struck the ground and broke up.  Failure of the captain to determine his position accurately before descending to a dangerously low altitude under extremely poor weather conditions during the hours of darkness. The aircraft was named Philippine Clipper."
40,1943-01-22,15:15,"Near Chaparra, Peru",Pan American Grace Airlines,9,"Santiago, Chili - Arequipa, Peru - Lima, Peru",Douglas DC-3A,NC33645,4124,15.0,14.0,0,"The aircraft crashed into the Mt. Chaparra in the Andes mountains while en route.  Action of the pilot in continuing the flight on instruments in the overcast, contrary to company flight procedure of which, according to the evidence, the pilot was aware."
41,1943-02-22,06:47,"Lisbon, Portugal",Pan American World Airways,9035,New York City - Lisbon,Boeing B-314 (flying boat),NC18603,1990,39.0,25.0,0,"Crashed into the Targus River in poor weather while attempting to land. Inadvertent contact of the left wing tip of the aircraft with the water while making a descending turn preparatory to landing. The aircraft was named the Yankee Clipper.  Novelist Ben Robertson and singer, actress Tamara Drasin, 34, among those killed. Actress Jane Froman seriously injured."
43,1943-07-28,22:43,"Trammel, Kentucky",American Airlines,63,Cleveland - Memphis,Douglas DC-3,NC16014,1552,22.0,20.0,0,"The aircraft crashed into trees while attempting to land in strong turbulence and violent downdrafts. There was evidence that most of the occupants in the cabin were victims of suffocation or fire, or both, because of their inability to effect an exit from the aircraft. Loss of control of the aircraft due to unusually severe turbulence and violent downdraft caused by a thunderstorm of unknown and unpredictable intensity."
44,1943-10-15,23:17,"Near Centerville, Tennessee",American Airlines,63,Nashville - Memphis,Douglas DC3-G102,NC16088,1588,15.0,15.0,0,"The aircraft struck the ground nose-first in a vertical attitude while en route and was completely demolished by the impact. Inability of the aircraft to gain or maintain altitude due to carburetor ice, propeller ice or wing ice or some combination of these icing conditions, while over terrain and in weather unsuitable for an emergency landing."
48,1944-01-12,00:54,"Van Nuys, California",Trans Continental and Western Air,13,San Francisco - Burbank - New York City,Douglas DC-3,NC17322,1965,17.0,9.0,0,The plane crashed and burned 6.5 miles west northwest of the Bubank Airport in dense fog. The pilot's deviation from the standard instrument approach procedure and descent below the established safe minimum altitude. A contributing factor was the company's failure to enforce adherence to company procedures.
47,1944-04-11,17:15,"Hanford, California",Trans Continental and Western Air,8,San Francisco - New York City,Douglas DC-3,NC28310,2251,24.0,24.0,0,"The wing separated from the aircraft after entering a thunderstorm and encountering severe turbulence. The failure of the airplane's structure as a result of severe turbulence, an important contributing cause was the fact that the airplane was undoubtedly in an abnormal attitude of flight,  i.e., inverted, at the instant of structural failure. The cause of the airplane becoming inverted was not determined."
46,1944-08-08,13:20,"Off Antilla, Cuba",Pan American World Airways,218,Antilla - Miami,Sikorsky S-42 (flying boat),NC823M,4201,31.0,17.0,0,Crashed during the third attempt to lift from the water and sank into the ocean. Loss of control due to the captain's inexperience in handling the particular type of aircraft. The aircraft was named 'Hong Kong Clipper.'
45,1944-10-02,23:36,"Memphis, Tennessee",American Airlines,2,Little Rock - Memphis,Douglas DC-3,NC21767,2166,24.0,24.0,0,"The aircraft crashed into a river and sank ,18 miles southwest of Memphis, in a snowstorm, while en route from Little Rock. Cause undetermined."
51,1945-02-23,02:25,"Marion, Virginia",American Airlines,9,New York City - Los Angeles,Douglas DC-3,N18142,2138,22.0,17.0,0,"The aircraft flew into the summit of Glade mountain at 3,900 ft., in heavy rain and turbulence  while en route. The pilot's failure to properly  plan the flight and remain at a safe instrument altitude under existing conditions. A contributing cause of the accident was the company's laxity in dispatching and supervising the flight."
54,1945-03-08,10:11,"Fort de France, Martinique",Pan American World Airways,216,Port of Spain - Fort de France,Sikorsky S-43 (flying boat),NC15066,4306,14.0,4.0,0,The aircraft crashed while landing at Fort de France. The plane sank and 4 passengers drowned. The attempt by the pilot to land the aircraft in conditions of water surface not suitable for landing of a flying boat.
52,1945-04-14,16:58,"Morgantown, West Virginia",Pennsylvania Central Airlines,142,Pittsburgh - Morgantown,Douglas DC-3,NC25692,2262,20.0,20.0,0,"The aircraft crashed against the slope of Cheat Mountain at 2,100 ft., 7 miles east northeast of Morgantown. The action of the pilot in continuing flight over mountainous terrain under instrument conditions, below the minimum authorized instrument altitude."
56,1945-05-10,01:05,"Lakeland, Florida",National Airlines,16,Miami - Jacksonville,Lockheed 18 Lodestar,NC18199,2265,15.0,2.0,0,Crashed into a lake while attempting to execute a missed approach. The faulty execution of a missed approach procedure resulting in settling of the aircraft into a water area beyond the landing runway.
55,1945-07-09,02:13,"Florence, South Carolina",Eastern Air Lines,42,Miami - New York City,Douglas DC-3,NC33631,4137,22.0,22.0,0,"Fire was discovered on board the aircraft after having passed Florence. The fire originated in the general area of the right side of the rear cargo compartment and lavatory. The aircraft descended to a lower altitude while returning to Florence, struck two large  trees and crashed.  A fire of undetermined origin in the rear cargo compartment or lavatory which resulted in the inability of the pilot to maintain altitude long enough to effect an emergency landing."
49,1945-08-01,21:16,"Port of Spain, Trinidad",Pan American World Airways,161,Miami - Leopoldville,Martin M-130 (flying boat),NC14716,558,30.0,23.0,0,"The aircraft crashed 1.25 miles short of the intended landing area in a nose-down attitude at too great a speed and broke up in the water. The first officer's failure to realize his proximity to the water and to correct his attitude for a normal landing and the lack of adequate supervision by the captain during the landing, resulting in the inadvertent flight into the water in excess of normal landing speed and in a nose-down attitude. The aircraft was named China Clipper."
50,1945-10-01,04:10,"Burbank, California",American Airlines,6001,"New York City - Juarez, Mexico - Burbank",Douglas DC-3,NC25684,2215,24.0,24.0,0,"The aircraft, lost in fog, crashed into the Verdugo Mountains,  while attempting to reach Palmdale Airport, its alternate landing site, after being unable to land at Burbank Airport. The company ground personnel failed to obtain and transmit important weather to the pilot. Improperly executed missed approach by the pilot. Actress Donna Reed was returning from Juarez where she obtained a divorce from her husband but was bumped from the flight just prior to takeoff  to make room for a military officer holding a wartime-travel priority pass."
53,1945-12-07,14:36,"Near Florence, South Carolina",Eastern Air Lines / Military - U.S. Army Air Corps,45,Boston - NY - Washington DC - Jacksonville - Miami,Douglas DC-3-201C /  Army A-26,NC25647,2235,10.0,3.0,0,"After deviating off course 8 miles to avoid military traffic, the two planes collided at 3,000 ft. The commercial pilot landed the plane in a corn field.  Two occupants of the A-26 (33-35553) were killed and one parachuted safely. One infant was killed on the DC-3.  Lack of vigilance on the part  of the pilots of both aircraft, resulting in the failure of each pilot to see the other aircraft in time to  avoid a collision."
57,1945-12-30,21:13,"New York City, New York",Eastern Air Lines,14,Philadelphia - New York City,Douglas DC-3,NC18l23,1999,12.0,1.0,0,"The pilot, in the belief that he was encountering engine trouble, attempted a landing despite a landing approach which was too high and too fast. Initial contact with the runway was made at a point which provided insufficient room for a landing roll and at an airspeed considerable in excess of normal. The pilot was unable to bring the aircraft to a stop in time to avoid overshooting the runway. The decision of the pilot in attempting a landing from an approach which was too high and too fast."
59,1946-01-18,11:03,"Cheshire, Connecticut",Eastern Air Lines,16B,New York - Boston,Douglas DC-3-201E,NC19970,3254,17.0,17.0,0,"The aircraft lost control and spiraled into the ground after the No. 1 engine caught on fire and the left wing separated from the aircraft. The fire, caused by the failure of a fuel line or fuel line connection, led to failure of the left wing."
60,1946-01-31,02:47,"Mt. Elk, Wyoming",United Air Lines,14,Boise - Denver,Douglas DC-3-194H,NC25675,2147,21.0,21.0,0,"The aircraft crashed into Elk Mountain after the crew made an unauthorized deviation from the prescribed route at an altitude insufficient to assure adequate clearance over Elk Mountain. Flight had originally filed for 13,000 ft.  But later amended the flight plan to 11,000 ft. Elk Mountain is 11,152 ft. MSL."
61,1946-03-03,08:12,"Live Oak Springs, California",American Airlines,6-103,Dallas - Tucon - San Diego,Douglas DC-3-227B,NC21799,2203,27.0,27.0,0,"While on approach to San Diego, the aircraft flew into Tierra Blanca Mountain at an altitude of 4,500 feet in fog, exploded and burned. The crew descended into instrument conditions to an altitude below that required to maintain clearance over Thing Mountain. The reason for the descent was not determined."
63,1946-05-09,02:00,"Elko, Nevada",Trans-Luxury Airlines,850,New York City - San Francisco,Douglas DC-3 (C-47-A5-DL),NC57850,9214,22.0,21.0,0,The aircraft lost contact with the ground in fog and crashed into a hillside while attempting to land at Elko Airport. A two-year-old boy was the only survivor.
58,1946-06-01,03:59,"Birmingham, Alabama",Pennsylvania Central Airlines,105,"New York City - Birmingham, AL",Douglas DC-3,N21786,4131,11.0,3.0,0,"In worsening weather conditions, the plane landed fast and high while making an instrument approach to Birmingham, overran the runway, crashed through the barrier fence and into a creek. The action of the pilot in committing himself to a landing from an approach which was too high and too fast."
64,1946-08-10,04:33,"Cheyenne, Wyoming",United Air Lines,28,San Francisco - Cheyenne - Chicago,Douglas DC-4,N30051,10471,41.0,2.0,0,"After two landing attempts, the pilot tried to land on a different runway.  The wing struck the ground and the plane skidded 800 ft.  A loss of altitude during a turn preparatory to a final approach while the pilot was manoeuvring in an attempt to land. The aircraft was named 'Mainliner Lake Michigan.'"
62,1946-08-21,04:19,"Moline, Illinois",Trans Luxury Airlines,878,Teterboro - Chicago - San Francisco,Douglas C-47-DL,N51878,4542,25.0,2.0,0,"While the aircraft was flying near Moline, the No. 1 engine failed. The prop was feathered and a descent initiated for an emergency landing.The aircraft overshot the landing and a  go-around was executed. A left turn was made with the gear and flaps extended. The left wing touched the ground and the aircraft cartwheeled. The engine failure was caused by a No. 5 cylinder fracture."
65,1946-10-17,00:57,"Laramie, Wyoming",National Air Transport Services,942,Oakland - Chicago,Douglas DC-3,NC38942,12971,13.0,13.0,0,Crashed during a snowstorm into prairie lands while attempting to land at Laramie.  Weather conditions were deteriorating rapidly and worse than predicted. The action of the pilot in maneuvering the aircraft at a dangerously low altitude under extremely adverse weather conditions in an attempt to land.  A contributing factor was the negligence of the pilot in planning a flight into an area in which adverse weather conditions were forecast without making adequate provisions for a suitable alternate airport.
